ID;B0;B1;B2;B3;B4;B5;B6;B7
2001;1;0;2;201;0;44;0;44
2002;2;0;3;47;2;43;0;68
2015;9;254;0;30;0;0;0;0
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;245;72;255;96;1;184
2001;1;0;1;88;0;187;0;187
2002;2;0;0;143;2;180;2;231
2001;1;0;0;235;0;3;0;3
2002;2;0;1;80;0;234;2;138
2017;0;0;0;0;0;0;0;0
2000;0;0;245;72;0;0;0;232
2001;1;0;3;114;0;152;0;152
2002;2;0;3;48;3;130;0;1
2001;1;0;1;126;0;150;0;150
2002;2;0;1;226;3;73;0;102
2000;0;0;249;48;1;184;0;232
2001;1;0;3;159;0;119;0;119
2017;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0
2002;2;0;2;4;2;19;2;57
2001;1;0;1;114;0;184;0;184
2002;2;0;2;176;2;142;3;112
2004;255;112;0;200;0;156;0;23
2000;0;0;241;96;0;24;0;0
2003;3;0;0;0;0;0;1;225
2001;1;0;2;69;0;132;0;132
2002;2;0;3;169;0;251;0;239
2001;1;0;0;74;0;122;0;122
2002;2;0;3;218;1;188;3;251
2000;0;0;249;48;255;96;0;232
2001;1;0;3;26;0;170;0;170
2002;2;0;1;168;3;161;2;156
2001;1;0;1;99;0;63;0;63
2002;2;0;0;237;3;69;3;17
2017;0;0;0;0;0;0;0;0
2000;0;0;3;232;0;0;255;96
2015;3;246;0;170;0;0;0;4
2001;1;0;0;46;0;72;0;72
2002;2;0;2;32;0;58;1;39
2001;1;0;1;38;0;139;0;139
2002;2;0;1;177;3;223;1;93
2000;0;0;253;24;1;184;0;0
2001;1;0;3;206;0;141;0;141
2002;2;0;3;49;3;70;0;238
2001;1;0;1;123;0;15;0;15
2002;2;0;3;215;1;96;2;156
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2015;4;64;0;49;0;0;0;3
2002;2;0;1;231;1;77;3;138
2004;0;100;0;0;0;156;0;70
2000;0;0;7;208;0;24;255;96
2000;0;0;0;0;0;48;0;232
2001;1;0;3;116;0;173;0;173
2002;2;0;0;230;3;18;0;84
2001;1;0;0;105;0;180;0;180
2002;2;0;0;128;1;151;2;75
2000;0;0;249;48;255;72;0;0
2001;1;0;1;234;0;168;0;168
2002;2;0;0;171;1;131;2;55
2001;1;0;2;184;0;53;0;53
2002;2;0;0;16;0;183;3;104
2015;1;66;0;191;0;0;0;5
2016;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0
2000;0;0;3;232;255;96;0;208
2002;2;0;1;21;0;109;2;28
2017;0;0;0;0;0;0;0;0
2001;1;0;1;216;0;128;0;128
2002;2;0;1;110;1;13;1;90
2000;0;0;241;96;0;232;0;0
2001;1;0;2;215;0;147;0;147
